encoded_article,decoded_article,fame_score
Effect_of_Hurricane_Katrina_on_New_Orleans,Effect_of_Hurricane_Katrina_on_New_Orleans,6.0
Effects_of_global_warming,Effects_of_global_warming,7.0
Effects_of_nuclear_explosions,Effects_of_nuclear_explosions,5.0
Egg_%28food%29,Egg_(food),6.0
Egypt,Egypt,9.0
Egyptian_pyramids,Egyptian_pyramids,9.0
Eifel_Aqueduct,Eifel_Aqueduct,3.0
Eilmer_of_Malmesbury,Eilmer_of_Malmesbury,2.0
Einsteinium,Einsteinium,3.0
El_Aai%C3%BAn,El_Aaiún,4.0
El_Hatillo_Municipality%2C_Miranda,"El_Hatillo_Municipality,_Miranda",2.0
El_Lissitzky,El_Lissitzky,4.0
El_Ni%C3%B1o-Southern_Oscillation,El_Niño-Southern_Oscillation,7.0
El_Salvador,El_Salvador,8.0
Elagabalus,Elagabalus,5.0
Eldfell,Eldfell,3.0
Election,Election,6.0
Electric_charge,Electric_charge,7.0
Electric_field,Electric_field,7.0
Electrical_engineering,Electrical_engineering,6.0
Electrical_resistance,Electrical_resistance,6.0
Electricity,Electricity,8.0
Electromagnetic_radiation,Electromagnetic_radiation,8.0
Electron,Electron,9.0
Electron_beam_welding,Electron_beam_welding,5.0
Electronic_amplifier,Electronic_amplifier,6.0
Electronics,Electronics,7.0
Elementary_algebra,Elementary_algebra,4.0
Elementary_arithmetic,Elementary_arithmetic,4.0
Elementary_group_theory,Elementary_group_theory,3.0
Eleocharis_dulcis,Eleocharis_dulcis,2.0
Elephant,Elephant,7.0
Elephant_bird,Elephant_bird,3.0
Elephant_shrew,Elephant_shrew,4.0
Elfin-woods_Warbler,Elfin-woods_Warbler,3.0
Elias_Ashmole,Elias_Ashmole,4.0
Eliminative_materialism,Eliminative_materialism,5.0
Elizabeth_Fry,Elizabeth_Fry,6.0
Elizabeth_II_of_the_United_Kingdom,Elizabeth_II_of_the_United_Kingdom,9.0
Elizabeth_I_of_England,Elizabeth_I_of_England,9.0
Elizabethan_Poor_Law_%281601%29,Elizabethan_Poor_Law_(1601),3.0
Elvis_Presley,Elvis_Presley,10.0
Emacs,Emacs,6.0
Emanuel_Swedenborg,Emanuel_Swedenborg,5.0
Emirate,Emirate,4.0
Emma_Roberts,Emma_Roberts,6.0
Emotion,Emotion,5.0
Emperor_Penguin,Emperor_Penguin,6.0
Empires__Dawn_of_the_Modern_World,Empires__Dawn_of_the_Modern_World,3.0
Empiricism,Empiricism,5.0
Employment,Employment,5.0
Emu,Emu,6.0
Enceladus_%28moon%29,Enceladus_(moon),4.0
Encyclop%C3%A6dia_Britannica,Encyclopædia_Britannica,8.0
Endoscopic_foreign_body_retrieval,Endoscopic_foreign_body_retrieval,3.0
Energy,Energy,6.0
Engineering,Engineering,5.0
England,England,7.0
England_expects_that_every_man_will_do_his_duty,England_expects_that_every_man_will_do_his_duty,2.0
English_Channel,English_Channel,6.0
English_Reformation,English_Reformation,5.0
English_language,English_language,7.0
English_monarchs_family_tree,English_monarchs_family_tree,2.0
English_peasants%27_revolt_of_1381,English_peasants'_revolt_of_1381,3.0
English_poetry,English_poetry,4.0
Enigma_machine,Enigma_machine,6.0
Entropy,Entropy,5.0
Environmental_science,Environmental_science,4.0
Enzyme_kinetics,Enzyme_kinetics,4.0
Eocene,Eocene,3.0
Epaminondas,Epaminondas,3.0
Epazote,Epazote,2.0
Epic_of_Gilgamesh,Epic_of_Gilgamesh,8.0
Episcopal_polity,Episcopal_polity,4.0
Equal_Protection_Clause,Equal_Protection_Clause,6.0
Equatorial_Guinea,Equatorial_Guinea,5.0
Erbium,Erbium,3.0
Eric_Clapton,Eric_Clapton,8.0
Erie_Canal,Erie_Canal,6.0
Eris_%28dwarf_planet%29,Eris_(dwarf_planet),7.0
Eritrea,Eritrea,5.0
Ernest_Hemingway,Ernest_Hemingway,9.0
Ernest_Rutherford,Ernest_Rutherford,8.0
Eruption_column,Eruption_column,3.0
Erwin_Rommel,Erwin_Rommel,7.0
Eskimo,Eskimo,4.0
Esox,Esox,2.0
Esperanto,Esperanto,6.0
Essential_oil,Essential_oil,5.0
Estonia,Estonia,7.0
Ethanol,Ethanol,6.0
Ethics,Ethics,5.0
Ethiopia,Ethiopia,8.0
Ethiopian_Wolf,Ethiopian_Wolf,4.0
Ethnic_group,Ethnic_group,6.0
Euclid,Euclid,7.0
Euclidean_geometry,Euclidean_geometry,6.0
Eukaryote,Eukaryote,7.0
Euphrates,Euphrates,6.0
Eurasian_Bullfinch,Eurasian_Bullfinch,5.0
Eurasian_Collared_Dove,Eurasian_Collared_Dove,5.0
Eurasian_Eagle_Owl,Eurasian_Eagle_Owl,5.0
Eurasian_Jay,Eurasian_Jay,4.0
Eurasian_Oystercatcher,Eurasian_Oystercatcher,4.0
Euro,Euro,7.0
Europe,Europe,8.0
European_Goldfinch,European_Goldfinch,4.0
European_Greenfinch,European_Greenfinch,4.0
European_Kingfisher,European_Kingfisher,4.0
European_Parliament,European_Parliament,6.0
European_Space_Agency,European_Space_Agency,7.0
European_Union,European_Union,8.0
Europium,Europium,4.0
Eurovision_Song_Contest,Eurovision_Song_Contest,8.0
Euston_Manifesto,Euston_Manifesto,3.0
Eustreptospondylus,Eustreptospondylus,2.0
Eva_Per%C3%B3n,Eva_Perón,7.0
Evan_Rachel_Wood,Evan_Rachel_Wood,6.0
Evanton,Evanton,2.0
Evolution,Evolution,9.0
Evolutionarily_stable_strategy,Evolutionarily_stable_strategy,5.0
Existentialism,Existentialism,6.0
Exploration_of_Mars,Exploration_of_Mars,7.0
Explorer_I,Explorer_I,6.0
Expressionism,Expressionism,7.0
Extinct_birds,Extinct_birds,5.0
Extinction,Extinction,6.0
Extrasolar_planet,Extrasolar_planet,6.0
Extraterrestrial_life,Extraterrestrial_life,7.0
Eye,Eye,5.0
Eye_%28cyclone%29,Eye_(cyclone),5.0
Eyelid,Eyelid,5.0
Ezra_Pound,Ezra_Pound,9.0
F-35_Lightning_II,F-35_Lightning_II,8.0
F-4_Phantom_II,F-4_Phantom_II,7.0
FIFA,FIFA,10.0
FIFA_World_Cup,FIFA_World_Cup,10.0
FM_Consolidated_line,FM_Consolidated_line,3.0
FairTax,FairTax,4.0
Fair_Isle,Fair_Isle,5.0
Falcon,Falcon,6.0
Falkirk_Wheel,Falkirk_Wheel,4.0
Falkland_Islands,Falkland_Islands,7.0
Family,Family,9.0
Famine,Famine,8.0
Fanny_Blankers-Koen,Fanny_Blankers-Koen,6.0
Faroe_Islands,Faroe_Islands,6.0
Fascism,Fascism,8.0
Fashion,Fashion,7.0
Fatty_acid,Fatty_acid,5.0
Fauna_of_Australia,Fauna_of_Australia,7.0
Feather,Feather,5.0
Fed_Cup,Fed_Cup,6.0
Federal_Bureau_of_Investigation,Federal_Bureau_of_Investigation,9.0
Federated_States_of_Micronesia,Federated_States_of_Micronesia,5.0
Fedora_Core,Fedora_Core,4.0
Feldspar,Feldspar,3.0
Felice_Beato,Felice_Beato,4.0
Felix_Mendelssohn,Felix_Mendelssohn,6.0
Felix_the_Cat,Felix_the_Cat,7.0
Fencing,Fencing,5.0
Fennel,Fennel,4.0
Ferdinand_Magellan,Ferdinand_Magellan,8.0
Ferdinandea,Ferdinandea,3.0
Fermi_paradox,Fermi_paradox,6.0
Fermium,Fermium,5.0
Fern,Fern,4.0
Fertile_Crescent,Fertile_Crescent,6.0
Fertilizer,Fertilizer,4.0
Fetal_alcohol_spectrum_disorder,Fetal_alcohol_spectrum_disorder,3.0
Ffestiniog_Railway,Ffestiniog_Railway,5.0
Fiberglass,Fiberglass,8.0
Fiction,Fiction,8.0
Fidel_Castro,Fidel_Castro,9.0
Fieldfare,Fieldfare,3.0
Fiji,Fiji,7.0
Film,Film,8.0
Final_Fantasy_%28video_game%29,Final_Fantasy_(video_game),9.0
Final_Fantasy_Adventure,Final_Fantasy_Adventure,5.0
Finance,Finance,7.0
Financial_statements,Financial_statements,6.0
Fine_art,Fine_art,7.0
Finland,Finland,9.0
Fire,Fire,8.0
Firearm,Firearm,7.0
Firecrest,Firecrest,6.0
Firefly_%28TV_series%29,Firefly_(TV_series),5.0
First_Council_of_Nicaea,First_Council_of_Nicaea,6.0
First_Crusade,First_Crusade,7.0
First_Macedonian_War,First_Macedonian_War,5.0
First_Transcontinental_Railroad,First_Transcontinental_Railroad,6.0
Fish,Fish,7.0
Fishing,Fishing,7.0
Flag_of_Australia,Flag_of_Australia,6.0
Flag_of_Belarus,Flag_of_Belarus,5.0
Flag_of_Hong_Kong,Flag_of_Hong_Kong,5.0
Flag_of_India,Flag_of_India,6.0
Flag_of_Mexico,Flag_of_Mexico,6.0
Flag_of_South_Africa,Flag_of_South_Africa,6.0
Flag_of_the_Republic_of_China,Flag_of_the_Republic_of_China,5.0
Flamingo,Flamingo,6.0
Flanders,Flanders,4.0
Flat_Earth,Flat_Earth,6.0
Flemish_%28linguistics%29,Flemish_(linguistics),3.0
Flemish_dialects,Flemish_dialects,4.0
Flemish_people,Flemish_people,5.0
Flood,Flood,6.0
Floppy_disk,Floppy_disk,5.0
Florence_Nightingale,Florence_Nightingale,7.0
Florida,Florida,8.0
Florida_East_Coast_Railway,Florida_East_Coast_Railway,3.0
Floris_and_Blancheflour,Floris_and_Blancheflour,2.0
Flower,Flower,10.0
Floyd_Mayweather_Jr.,Floyd_Mayweather_Jr.,9.0
Fluorine,Fluorine,8.0
Flute,Flute,7.0
Foie_gras,Foie_gras,6.0
Folic_acid,Folic_acid,7.0
Folk_music,Folk_music,8.0
Folklore,Folklore,7.0
Food,Food,10.0
Football,Football,10.0
Football_%28soccer%29,Football_(soccer),9.0
Force,Force,8.0
Forensic_facial_reconstruction,Forensic_facial_reconstruction,6.0
Forest,Forest,7.0
Formic_acid,Formic_acid,5.0
Formula_One,Formula_One,9.0
Forrest_Gump,Forrest_Gump,8.0
Fort_de_Chartres,Fort_de_Chartres,4.0
Forth,Forth,5.0
Forth_Bridge_%28railway%29,Forth_Bridge_(railway),6.0
Forth_Road_Bridge,Forth_Road_Bridge,7.0
Fossil,Fossil,8.0
Fossil_fuel,Fossil_fuel,8.0
Fossil_record,Fossil_record,7.0
Fourteenth_Amendment_to_the_United_States_Constitution,Fourteenth_Amendment_to_the_United_States_Constitution,9.0
Fox,Fox,8.0
Fr%C3%A9d%C3%A9ric_Chopin,Frédéric_Chopin,7.0
Fractal,Fractal,6.0
France,France,9.0
France_in_the_American_Revolutionary_War,France_in_the_American_Revolutionary_War,7.0
Frances_Oldham_Kelsey,Frances_Oldham_Kelsey,8.0
Francis_Bacon,Francis_Bacon,9.0
Francis_Crick,Francis_Crick,9.0
Francis_Drake,Francis_Drake,8.0
Francis_Petre,Francis_Petre,3.0
Francis_of_Assisi,Francis_of_Assisi,9.0
Francisco_Goya,Francisco_Goya,8.0
Francium,Francium,6.0
Frank_Lloyd_Wright,Frank_Lloyd_Wright,9.0
Frankenstein,Frankenstein,9.0
Frankfurt,Frankfurt,8.0
Franklin_B._Gowen,Franklin_B._Gowen,3.0
Franklin_D._Roosevelt,Franklin_D._Roosevelt,9.0
Franklin_Pierce,Franklin_Pierce,6.0
Franks,Franks,5.0
Franz_Kafka,Franz_Kafka,8.0
Franz_Schubert,Franz_Schubert,7.0
Frederick_Douglass,Frederick_Douglass,8.0
Frederick_Hamilton-Temple-Blackwood%2C_1st_Marquess_of_Dufferin_and_Ava,"Frederick_Hamilton-Temple-Blackwood,_1st_Marquess_of_Dufferin_and_Ava",2.0
Frederick_II%2C_Holy_Roman_Emperor,"Frederick_II,_Holy_Roman_Emperor",6.0
Frederick_II_of_Prussia,Frederick_II_of_Prussia,8.0
Freetown,Freetown,6.0
French_Guiana,French_Guiana,5.0
French_Open_%28tennis%29,French_Open_(tennis),7.0
French_Polynesia,French_Polynesia,6.0
French_Revolution,French_Revolution,8.0
French_Southern_and_Antarctic_Lands,French_Southern_and_Antarctic_Lands,4.0
French_language,French_language,7.0
Fresh_water,Fresh_water,8.0
Friedrich_Nietzsche,Friedrich_Nietzsche,7.0
Friend_Directdebit,Friend_Directdebit,1.0
Frog,Frog,6.0
Fruit,Fruit,5.0
Fugu,Fugu,4.0
Full_moon,Full_moon,5.0
Funchal,Funchal,4.0
Functional_programming,Functional_programming,5.0
Fundamental_Rights_in_India,Fundamental_Rights_in_India,4.0
Fundamental_theorem_of_arithmetic,Fundamental_theorem_of_arithmetic,6.0
Fungus,Fungus,6.0
Fur_language,Fur_language,2.0
Fusarium,Fusarium,5.0
Fyodor_Dostoevsky,Fyodor_Dostoevsky,7.0
GDRT,GDRT,1.0
GNOME,GNOME,6.0
GNU,GNU,6.0
GNU_Linux_naming_controversy,GNU_Linux_naming_controversy,4.0
GNU_Project,GNU_Project,5.0
Gabon,Gabon,4.0
Gaborone,Gaborone,3.0
Gadolinium,Gadolinium,6.0
Gal%C3%A1pagos_Islands,Galápagos_Islands,8.0
Galah,Galah,4.0
Galaxy,Galaxy,7.0
Galeras,Galeras,5.0
Galerina,Galerina,3.0
Galileo_Galilei,Galileo_Galilei,9.0
Gallery_of_the_Kings_and_Queens_of_England,Gallery_of_the_Kings_and_Queens_of_England,3.0
Gallimimus,Gallimimus,6.0
Gallium,Gallium,6.0
Galveston_Hurricane_of_1900,Galveston_Hurricane_of_1900,7.0
Game,Game,8.0
Game_theory,Game_theory,7.0
Ganesha,Ganesha,6.0
Ganges_River,Ganges_River,7.0
Ganges_shark,Ganges_shark,3.0
Gangtok,Gangtok,4.0
Garage_%28dance_music%29,Garage_(dance_music),5.0
Garden,Garden,4.0
Garden_Gnome_Liberation_Front,Garden_Gnome_Liberation_Front,2.0
Gardening,Gardening,8.0
Gas,Gas,7.0
Gas_giant,Gas_giant,6.0
Gas_metal_arc_welding,Gas_metal_arc_welding,4.0
Gas_tungsten_arc_welding,Gas_tungsten_arc_welding,5.0
Gas_turbine-electric_locomotive,Gas_turbine-electric_locomotive,5.0
Gaur,Gaur,3.0
Gauss%27s_law,Gauss's_law,6.0
Gautama_Buddha,Gautama_Buddha,9.0
Gaza_Strip,Gaza_Strip,8.0
Gazelle,Gazelle,7.0
Gender,Gender,8.0
Genealogy,Genealogy,6.0
General_Pershing_Zephyr,General_Pershing_Zephyr,3.0
Genetic_code,Genetic_code,8.0
Genetics,Genetics,7.0
Geneva,Geneva,6.0
Genghis_Khan,Genghis_Khan,9.0
Genoa,Genoa,6.0
Gentoo_penguin,Gentoo_penguin,5.0
Geography,Geography,6.0
Geography_of_Africa,Geography_of_Africa,5.0
Geography_of_India,Geography_of_India,5.0
Geography_of_Ireland,Geography_of_Ireland,5.0
Geography_of_Texas,Geography_of_Texas,4.0
Geology,Geology,6.0
Geology_of_Dorset,Geology_of_Dorset,4.0
Geology_of_the_Grand_Canyon_area,Geology_of_the_Grand_Canyon_area,4.0
Geometry,Geometry,6.0
Georg_Cantor,Georg_Cantor,5.0
Georg_Forster,Georg_Forster,4.0
Georg_von_Boeselager,Georg_von_Boeselager,3.0
George_Byron%2C_6th_Baron_Byron,"George_Byron,_6th_Baron_Byron",4.0
George_Eliot,George_Eliot,7.0
George_Fox,George_Fox,5.0
George_H._W._Bush,George_H._W._Bush,8.0
George_Herbert,George_Herbert,5.0
George_III_of_the_United_Kingdom,George_III_of_the_United_Kingdom,8.0
George_II_of_Great_Britain,George_II_of_Great_Britain,7.0
George_IV_of_the_United_Kingdom,George_IV_of_the_United_Kingdom,7.0
George_I_of_Great_Britain,George_I_of_Great_Britain,8.0
George_Thomas_Coker,George_Thomas_Coker,3.0
George_VI_of_the_United_Kingdom,George_VI_of_the_United_Kingdom,7.0
George_V_of_the_United_Kingdom,George_V_of_the_United_Kingdom,7.0
George_W._Bush,George_W._Bush,9.0
George_Washington,George_Washington,10.0
Georgetown%2C_Guyana,"Georgetown,_Guyana",5.0
Georgia_%28country%29,Georgia_(country),6.0
Gerald_Durrell,Gerald_Durrell,4.0
Gerald_Ford,Gerald_Ford,8.0
German_Crusade%2C_1096,"German_Crusade,_1096",3.0
German_language,German_language,9.0
German_reunification,German_reunification,7.0
Germanium,Germanium,6.0
Germany,Germany,5.0
Gettysburg_Address,Gettysburg_Address,9.0
Ghana,Ghana,6.0
Ghost_Dance,Ghost_Dance,5.0
Giant%27s_Causeway,Giant's_Causeway,4.0
Giant_Eland,Giant_Eland,2.0
Giant_Hogweed,Giant_Hogweed,5.0
Giant_Panda,Giant_Panda,9.0
Gibraltar,Gibraltar,7.0
Giganotosaurus,Giganotosaurus,6.0
Gilles_Villeneuve,Gilles_Villeneuve,5.0
Giraffe,Giraffe,8.0
Giuseppe_Verdi,Giuseppe_Verdi,7.0
Giza_pyramid_complex,Giza_pyramid_complex,9.0
Glacier,Glacier,6.0
Glacier_National_Park_%28US%29,Glacier_National_Park_(US),6.0
Glaciology,Glaciology,7.0
Glasgow,Glasgow,8.0
Glass,Glass,6.0
Glasses,Glasses,6.0
Glastonbury_Festival,Glastonbury_Festival,7.0
GlaxoSmithKline,GlaxoSmithKline,7.0
Gliding,Gliding,5.0
Gliese_876,Gliese_876,4.0
Gliese_876_b,Gliese_876_b,4.0
Gliese_876_c,Gliese_876_c,4.0
Gliese_876_d,Gliese_876_d,3.0
Global,Global,6.0
Global_city,Global_city,5.0
Global_spread_of_H5N1,Global_spread_of_H5N1,4.0
Global_warming,Global_warming,7.0
Globalization,Globalization,6.0
Globe_Theatre,Globe_Theatre,6.0
Globular_cluster,Globular_cluster,5.0
Glorious_Revolution,Glorious_Revolution,5.0
Glynn_Lunney,Glynn_Lunney,3.0
Gmail,Gmail,9.0
Go_%28board_game%29,Go_(board_game),4.0
Goa,Goa,6.0
God,God,10.0
Gold,Gold,8.0
Gold%28III%29_chloride,Gold(III)_chloride,3.0
Gold_standard,Gold_standard,5.0
Goldcrest,Goldcrest,3.0
Golden_Eagle,Golden_Eagle,6.0
Golden_Gate_Highlands_National_Park,Golden_Gate_Highlands_National_Park,2.0
Goldfish,Goldfish,7.0
Goleta%2C_California,"Goleta,_California",4.0
Gone_with_the_Wind_%28film%29,Gone_with_the_Wind_(film),8.0
Google,Google,10.0
Goose,Goose,4.0
Gordon_Brown,Gordon_Brown,6.0
Gordon_Griffith,Gordon_Griffith,3.0
Gorilla,Gorilla,8.0
Gossypium,Gossypium,5.0
Gothenburg,Gothenburg,6.0
Gottfried_Leibniz,Gottfried_Leibniz,8.0
Government,Government,9.0
Government_of_France,Government_of_France,7.0
Gowanus_Canal,Gowanus_Canal,5.0
Grand_Canal_of_China,Grand_Canal_of_China,6.0
Grand_Canyon,Grand_Canyon,9.0
Grand_Central_Station_%28Chicago%29,Grand_Central_Station_(Chicago),6.0
Grand_Central_Terminal,Grand_Central_Terminal,8.0
Grand_Forks%2C_North_Dakota,"Grand_Forks,_North_Dakota",5.0
Grand_Slam_%28tennis%29,Grand_Slam_(tennis),7.0
Grange_Hill,Grange_Hill,7.0
Granite,Granite,5.0
Graniteville_train_disaster,Graniteville_train_disaster,6.0
Grape_seed_oil,Grape_seed_oil,4.0
Graphic_novel,Graphic_novel,7.0
Gravitation,Gravitation,6.0
Gray_Wolf,Gray_Wolf,6.0
Gray_reef_shark,Gray_reef_shark,5.0
Grease_%28film%29,Grease_(film),8.0
Great_Auk,Great_Auk,5.0
Great_Barrier_Reef,Great_Barrier_Reef,8.0
Great_Black-backed_Gull,Great_Black-backed_Gull,3.0
Great_Britain,Great_Britain,9.0
Great_Bustard,Great_Bustard,4.0
Great_Comet_of_1882,Great_Comet_of_1882,5.0
Great_Cormorant,Great_Cormorant,4.0
Great_Crested_Grebe,Great_Crested_Grebe,3.0
Great_Lakes,Great_Lakes,7.0
Great_Lakes_Storm_of_1913,Great_Lakes_Storm_of_1913,4.0
Great_Moravia,Great_Moravia,2.0
Great_Pyramid_of_Giza,Great_Pyramid_of_Giza,10.0
Great_Red_Spot,Great_Red_Spot,8.0
Great_Rift_Valley,Great_Rift_Valley,7.0
Great_Salt_Lake,Great_Salt_Lake,6.0
Great_Spotted_Woodpecker,Great_Spotted_Woodpecker,5.0
Great_Tit,Great_Tit,5.0
Great_Wall_of_China,Great_Wall_of_China,9.0
Great_Yarmouth,Great_Yarmouth,4.0
Great_comet,Great_comet,3.0
Great_hammerhead,Great_hammerhead,4.0
Great_white_shark,Great_white_shark,8.0
Greater_Cane_Rat,Greater_Cane_Rat,3.0
Greco-Buddhism,Greco-Buddhism,4.0
Greece,Greece,9.0
Greek_War_of_Independence,Greek_War_of_Independence,5.0
Greek_mythology,Greek_mythology,6.0
Green_Woodpecker,Green_Woodpecker,3.0
Greenhouse_effect,Greenhouse_effect,7.0
Greenland,Greenland,6.0
Greg_LeMond,Greg_LeMond,5.0
Gregor_Mendel,Gregor_Mendel,7.0
Gregorian_chant,Gregorian_chant,6.0
Gremlins,Gremlins,7.0
Grenada,Grenada,7.0
Grevy%27s_Zebra,Grevy's_Zebra,5.0
Group_%28mathematics%29,Group_(mathematics),6.0
Grover_Cleveland,Grover_Cleveland,7.0
Guadeloupe,Guadeloupe,7.0
Guam,Guam,6.0
Guangzhou,Guangzhou,6.0
Guatemala,Guatemala,6.0
Guernsey,Guernsey,5.0
Guglielmo_Marconi,Guglielmo_Marconi,6.0
Guild,Guild,4.0
Guinea,Guinea,5.0
Guinea-Bissau,Guinea-Bissau,4.0
Guinness,Guinness,7.0
Guitar,Guitar,6.0
Gulf_of_Mexico,Gulf_of_Mexico,7.0
Gull,Gull,4.0
Gunpowder,Gunpowder,7.0
Guqin,Guqin,5.0
Gustav_Holst,Gustav_Holst,6.0
Gustavus_Franklin_Swift,Gustavus_Franklin_Swift,2.0
Guyana,Guyana,7.0
Gyeongju,Gyeongju,4.0
Gypsum,Gypsum,5.0
H%C3%A4nsel_und_Gretel,Hänsel_und_Gretel,6.0
H.D.,H.D.,3.0
H5N1,H5N1,6.0
HD_209458_b,HD_209458_b,3.0
HD_217107,HD_217107,2.0
HD_217107_b,HD_217107_b,2.0
HD_217107_c,HD_217107_c,2.0
HD_28185,HD_28185,2.0
HD_28185_b,HD_28185_b,2.0
HIV,HIV,9.0
HIV_AIDS_in_Africa,HIV_AIDS_in_Africa,8.0
HMS_E18,HMS_E18,2.0
HSBC,HSBC,7.0
HTTP_cookie,HTTP_cookie,3.0
H_II_region,H_II_region,2.0
Habsburg_Spain,Habsburg_Spain,4.0
Hadrian%27s_Wall,Hadrian's_Wall,5.0
Haemophilia,Haemophilia,4.0
Hafnium,Hafnium,6.0
Haiti,Haiti,7.0
Haji_Mohammad_Suharto,Haji_Mohammad_Suharto,3.0
Halfbeak,Halfbeak,3.0
Halloween,Halloween,8.0
Hamburg,Hamburg,8.0
Hamilton-Burr_duel,Hamilton-Burr_duel,5.0
Hammurabi,Hammurabi,6.0
Hampshire,Hampshire,4.0
Hampstead_Heath,Hampstead_Heath,5.0
Hannibal_Barca,Hannibal_Barca,6.0
Hanoi,Hanoi,7.0
Harald_Maddadsson,Harald_Maddadsson,3.0
Haraldsk%C3%A6r_Woman,Haraldskær_Woman,3.0
Harare,Harare,6.0
Hardball_squash,Hardball_squash,3.0
Harlem_Globetrotters,Harlem_Globetrotters,9.0
Harley-Davidson,Harley-Davidson,8.0
Harold_Macmillan,Harold_Macmillan,6.0
Harold_Wilson,Harold_Wilson,5.0
Harrier_Hawk,Harrier_Hawk,4.0
Harry_Potter,Harry_Potter,10.0
Harry_S._Truman,Harry_S._Truman,7.0
Harvest,Harvest,5.0
Hasekura_Tsunenaga,Hasekura_Tsunenaga,3.0
Hassium,Hassium,4.0
Hatshepsut,Hatshepsut,7.0
Hawaiian_Goose,Hawaiian_Goose,5.0
Hawfinch,Hawfinch,5.0
Hawk,Hawk,6.0
Hawk-Eye,Hawk-Eye,5.0
Hawking_radiation,Hawking_radiation,6.0
Health,Health,8.0
Heard_Island_and_McDonald_Islands,Heard_Island_and_McDonald_Islands,5.0
Heat,Heat,8.0
Hebrew_calendar,Hebrew_calendar,7.0
Hebrew_language,Hebrew_language,8.0
Hebrides,Hebrides,7.0
Heilbronn,Heilbronn,5.0
Helen,Helen,6.0
Helen_Gandy,Helen_Gandy,4.0
Helicobacter_pylori,Helicobacter_pylori,6.0
Heliocentrism,Heliocentrism,7.0
Helium,Helium,7.0
Hellenistic_Greece,Hellenistic_Greece,6.0
Hello_Garci_scandal,Hello_Garci_scandal,5.0
Helmeted_Guineafowl,Helmeted_Guineafowl,3.0
Helsinki,Helsinki,7.0
Henipavirus,Henipavirus,4.0
Henri_Matisse,Henri_Matisse,6.0
Henrik_Ibsen,Henrik_Ibsen,6.0
Henry_David_Thoreau,Henry_David_Thoreau,5.0
Henry_Fonda,Henry_Fonda,6.0
Henry_Ford,Henry_Ford,7.0
Henry_H._Rogers,Henry_H._Rogers,5.0
Henry_III_of_England,Henry_III_of_England,7.0
Henry_II_of_England,Henry_II_of_England,7.0
Henry_IV_of_England,Henry_IV_of_England,6.0
Henry_I_of_England,Henry_I_of_England,6.0
Henry_James,Henry_James,5.0
Henry_Moore,Henry_Moore,6.0
Henry_Morrison_Flagler,Henry_Morrison_Flagler,5.0
Henry_Morton_Stanley,Henry_Morton_Stanley,6.0
Henry_Purcell,Henry_Purcell,5.0
Henry_Rollins,Henry_Rollins,5.0
Henry_VIII_of_England,Henry_VIII_of_England,8.0
Henry_VII_of_England,Henry_VII_of_England,7.0
Henry_VI_of_England,Henry_VI_of_England,6.0
Henry_V_of_England,Henry_V_of_England,5.0
Henry_Wood_%28conductor%29,Henry_Wood_(conductor),4.0
Hepatocellular_carcinoma,Hepatocellular_carcinoma,5.0
Hepatorenal_syndrome,Hepatorenal_syndrome,3.0
Heracles,Heracles,6.0
Heraclius,Heraclius,5.0
Heraldry,Heraldry,4.0
Herbert_Hoover,Herbert_Hoover,8.0
Herbig-Haro_object,Herbig-Haro_object,3.0
Herbivore,Herbivore,5.0
Hermann_Maier,Hermann_Maier,6.0
Hern%C3%A1n_Cort%C3%A9s,Hernán_Cortés,7.0
Hero_of_Ukraine,Hero_of_Ukraine,6.0
Hero_of_the_Russian_Federation,Hero_of_the_Russian_Federation,5.0
Herodotus,Herodotus,7.0
Heron,Heron,6.0
Herrerasaurus,Herrerasaurus,4.0
Herring_Gull,Herring_Gull,6.0
Hey_Jude,Hey_Jude,9.0
Hickman%27s_potentilla,Hickman's_potentilla,3.0
High_German_consonant_shift,High_German_consonant_shift,4.0
Hilda_of_Whitby,Hilda_of_Whitby,5.0
Himalayas,Himalayas,10.0
Himno_Nacional_Mexicano,Himno_Nacional_Mexicano,6.0
Hindi,Hindi,7.0
Hinduism,Hinduism,8.0
Hip_hop_music,Hip_hop_music,9.0
Hippocrates,Hippocrates,8.0
Hippopotamus,Hippopotamus,7.0
Hiroh_Kikai,Hiroh_Kikai,3.0
Hirohito,Hirohito,6.0
History,History,9.0
History_of_Alaska,History_of_Alaska,4.0
History_of_Anglo-Saxon_England,History_of_Anglo-Saxon_England,4.0
History_of_Arizona,History_of_Arizona,3.0
History_of_Buddhism,History_of_Buddhism,5.0
History_of_Burnside,History_of_Burnside,2.0
History_of_Cape_Colony_from_1806_to_1870,History_of_Cape_Colony_from_1806_to_1870,2.0
History_of_Cape_Colony_from_1870_to_1899,History_of_Cape_Colony_from_1870_to_1899,2.0
History_of_Central_Asia,History_of_Central_Asia,3.0
History_of_Earth,History_of_Earth,8.0
History_of_Greece,History_of_Greece,7.0
History_of_Greenland,History_of_Greenland,4.0
History_of_Limerick,History_of_Limerick,3.0
History_of_Louisville%2C_Kentucky,"History_of_Louisville,_Kentucky",3.0
History_of_Miami%2C_Florida,"History_of_Miami,_Florida",4.0
History_of_New_Jersey,History_of_New_Jersey,5.0
History_of_Northwest_Territories_capital_cities,History_of_Northwest_Territories_capital_cities,3.0
